Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터 시행됩니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안에 포함되어 있습니다. (출처: ./data_txt/241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt)
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체, 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 2024년 11월 13일에 홍콩 그랜드 하얏트 호텔에서 개최될 예정입니다. (출처: Passage 0)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 대선 및 FOMC 결과에 대응하기 위해 금융감독원은 2024년 11월 8일에 금융상황 점검회의를 개최하였습니다. 이 회의에서는 미국 연준이 정책금리를 25bp 인하한 것에 대해 논의하였으며, 국내 금융상황의 불확실성이 여전히 크기 때문에 리스크 관리에 만전을 기할 필요성이 강조되었습니다. 이복현 원장은 고금리 여파로 인해 취약한 부문에서 돌발적 상황이 발생할 수 있다는 경계감을 가지고, 비상상황을 가정한 대응계획을 마련할 필요성을 언급했습니다 (출처: ./data_txt/241111 (보도참고) 배포시_금감원_금융상황_점검회의_개최.txt)."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시는 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 포함하게 됩니다. 이 공시는 상장회사와 대형 비상장회사가 내부회계관리제도 운영실태보고서에 기재해야 하며, 2024 사업연도에는 선택적으로 적용할 수 있습니다. 또한, 자산 1천억 원 미만의 상장회사와 대형 비상장회사는 2026 사업연도부터 의무 적용됩니다. 이와 관련하여 금융감독원은 기업들이 자금 부정 통제를 충실하고 명료하게 공시할 수 있도록 세부 작성 지침과 참고 자료를 마련하고 있습니다 (출처: ./data_txt/241111 (보도자료) 석간_횡령 등 자금 부정ዋ예방적발하기 위한 통제활동.txt)."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점으로는 다음과 같은 내용이 있습니다. 참석자들은 IFRS17 시행 초기의 혼란 해소와 제도 안정화를 위한 노력이 있었음을 평가하였으나, 여전히 회계오류 수정 과정에서 일부 보험사의 재무 성과에 큰 변동이 발생하는 등의 시행착오가 있었다고 언급했습니다. 예를 들어, A사는 CSM 상각률 산출 시 할인율 적용에서 착오가 발생하여 당기손익을 과소 인식한 사례가 있었습니다. 또한, 다수의 보험사가 보험계약 소멸 시 기타포괄손익 잔여금을 즉시 손익으로 반영했으나, 연석회의 논의를 통해 이연인식으로 안내받는 등의 문제도 있었습니다 (출처: ./data_txt/241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」). 

또한, IFRS17의 도입으로 인해 보험부채를 시가평가하고 발생주의에 따라 보험손익을 인식하는 과정에서, 보험계약마진(CSM)과 관련된 세부 내역의 공시 확대 필요성이 제기되었으며, 외부 검증 제도의 형식적 운영이 문제로 지적되었습니다 (출처: ./data_txt/241101(보도자료) IFRS17 안착을 위해 보험건전성 감독을 강화합니다.txt)."
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""금리 하락기의 IFRS17 안정화 및 보험사 리스크관리""였습니다. 이 간담회는 금융감독원 주재로 주요 보험사 및 회계법인 경영진과 함께 진행되었습니다. (출처: ./data_txt/241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.txt)"
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월(+5.3조원) 대비 증가폭이 확대된 것입니다. (출처: ./data_txt/241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최)"
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준으로 외국인이 보유한 상장주식은 728.9조원이며, 상장채권은 268.9조원입니다. 따라서 외국인이 보유한 상장주식과 상장채권의 총액은 997.8조원입니다 (출처: ./data_txt/241108 (보도자료) 선간_2024년 10월 외국인 증권투자 동햔(수정).txt)."
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp","금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일에 개최한 회의는 중소기업중앙회에서 진행되었습니다 (출처: ./data_txt/241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.txt)."
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"금융꿀팁 156번째는 퇴직연금 실물이전 신청 시 유의사항에 대한 내용입니다. 이 내용은 금융감독원이 금융소비자에게 제공하는 꿀팁으로, 퇴직연금 계좌를 다른 퇴직연금사업자로 이전할 때 기존에 운용 중인 상품을 매도하지 않고 실물 그대로 이전할 수 있는 제도에 대해 설명하고 있습니다. 

주요 유의사항으로는 실물이전은 새롭게 옮기고자 하는 금융회사에 신청해야 하며, 동일 제도 내에서의 이전(DB↔DB, DC↔DC, IRP↔IRP)만 가능하다는 점이 강조됩니다 (출처: ./data_txt/241107 (보도참고) [금융꿀팁 156] 퇴직연금 ቏ᅵᆯ물이전 신청시 유의사항 안내.txt)."
