Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터 시행됩니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안에 따른 것입니다 (출처: 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt).
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 'INVEST K-FINANCE: HONG KONG IR 2024'라는 제목으로, 한국 자본시장 선진화 및 금융산업의 글로벌화를 위해 개최되었습니다. (출처: 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.txt)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국의 FOMC(연방공개시장위원회) 결과에 대응하기 위한 거시경제금융회의가 여러 차례 개최되었습니다. 특히, 2024년 9월 19일에는 최상목 부총리 겸 기획재정부장관이 주재하여, 미국의 금리 인하 결정에 따른 국내외 금융 및 외환시장에 미치는 영향을 점검하고 대응 방향을 논의했습니다. 이 회의에서는 가계부채, 부동산, 프로젝트 파이낸싱(PF) 등 리스크 관리와 함께 내수 활성화 및 민생 안정에 대한 노력을 강화할 필요성도 강조되었습니다 (출처: 240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저.txt). 

또한, 2024년 8월 1일에는 미국의 금리 동결 결정에 따른 금융시장 영향을 점검하기 위한 회의도 개최되었습니다 (출처: 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화.txt). 이러한 회의들은 금융시장 안정을 위한 관계기관 간의 공조를 강화하는 데 중요한 역할을 하고 있습니다."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시에는 다음과 같은 내용이 포함됩니다:

1. **자금 부정 통제 공시 의무화**: 2025 사업연도부터 자산 1천억 원 이상인 상장회사와 금융회사(자산 1천억 원 미만, 대형 비상장)에 대해 자금 부정 통제를 위한 통제 활동을 추가로 공시해야 합니다. 2024 사업연도에는 기업이 선택적으로 공시할 수 있습니다. (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)

2. **내부회계 운영실태 점검 보고**: 매년 대표이사가 회사의 내부회계 운영실태를 점검하여 주주, 이사회, 감사(위원회)에 보고하는 서류로 사업보고서와 감사보고서에 첨부해야 합니다. (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)

3. **공시 서식 및 기준 제공**: 자금 부정을 방지하기 위해 회사가 수행한 통제 활동과 실태 점검 결과를 명료하게 기재하도록 상세 기준이 제공됩니다. (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)

이러한 변화는 기업의 투명성을 높이고 자금 부정을 예방하기 위한 조치로 볼 수 있습니다."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점은 여러 가지가 있습니다. 첫째, IFRS17의 원칙 중심 기준서 특성으로 인해 회사별 가정의 편차가 발생할 수 있으며, 이로 인해 '고무줄 회계이익' 논란이 제기되었습니다. 예를 들어, IFRS4 대비 IFRS17의 이익 증가율이 △782%에서 189%까지 다양하게 나타나는 문제가 있습니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

둘째, 보험부채 산출 시 손해율이나 해지율 등을 낙관적으로 가정할 경우 보험계약마진(CSM)이 과대계상될 수 있다는 우려가 있습니다. 특히, 무·저해지 상품의 경우 납입 기간 중 해지 시 환급금이 없거나 적은 상황에서 이러한 문제가 더욱 두드러집니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

셋째, 보험회사들이 자의적인 가정을 사용할 경우 단기적으로 손익에 드러나지 않지만, 미래에 위험이 이연되어 보험회사의 건전성이 갑자기 저하될 우려가 있으며, 이는 보험계약자에게 피해를 줄 수 있습니다 (출처: 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정.txt).

이러한 문제들은 IFRS17의 도입이 보험업계에 미치는 영향을 고려할 때 중요한 논의 사항으로 부각되고 있습니다."
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""찾아가는 금융규제 샌드박스""로, 블록체인 관련 기업들을 대상으로 진행되었습니다. 이 간담회에서는 블록체인 기술을 활용해 금융서비스를 제공하고자 하는 핀테크 기업들과 금융위원회, 금융감독원, 핀테크지원센터가 소통하는 자리가 마련되었습니다 (출처: 241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.txt)."
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월(+5.3조원) 대비 증가폭이 확대된 것입니다 (출처: 241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.txt)."
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2023년 10월 기준으로 외국인이 보유한 상장주식과 상장채권의 총액은 728,870억원입니다. (출처: 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).txt)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp","금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일에 개최한 간담회는 중소기업중앙회에서 진행되었습니다. (출처: 241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.txt)"
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"금융꿀팁 156번째는 퇴직연금 실물이전 신청 시 유의사항에 대한 내용이었습니다. 금융감독원은 금융소비자가 일상생활에서 놓치기 쉬운 금융상품 관련 꿀팁을 안내하고 있으며, 이번에는 퇴직연금 실물이전 서비스 신청과 관련하여 가입자들이 주의해야 할 사항을 알기 쉽게 설명하고 있습니다. (출처: 241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.txt)"
