Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안이 시행됨에 따라 이루어진 것입니다 (출처: 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt).
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체, 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 'INVEST K-FINANCE: HONG KONG IR 2024'라는 제목으로, 한국 자본시장 선진화 및 금융산업의 글로벌화를 위해 개최되었습니다. (출처: 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.txt)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 대선 및 FOMC 결과에 대응하기 위한 회의가 여러 차례 개최되었습니다. 특히, 2024년 8월 1일에는 거시경제금융회의가 열려, 미국 연방공개시장위원회(FOMC)의 금리 동결 결정에 따른 국내외 금융 및 외환 시장의 영향을 점검하고 대응 방향을 논의했습니다. 이 회의에는 한국은행 총재, 금융위원회 위원장, 금융감독원 원장 등이 참석하였으며, 중동의 지정학적 불안과 미국 대선 등 불확실성이 높은 상황에서 관계기관의 지속적인 공조와 대응이 강조되었습니다 (출처: 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화.txt).

또한, 2024년 8월 6일에는 긴급 거시경제·금융현안 간담회가 개최되어 최근 국내외 금융시장 동향을 점검하고 향후 대응 방향에 대해 논의하였습니다. 이 회의에서도 미국의 통화정책 전환과 대선 등이 글로벌 금융시장의 변곡점이 될 수 있다는 점이 강조되었습니다 (출처: 240806 금융시장 안정을 위해 관계기관 공조 강화.txt)."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시에는 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'이 포함됩니다. 상장회사와 대형 비상장회사는 '내부회계관리제도 운영실태보고서'에 이러한 통제 활동을 기재해야 하며, 2024 사업연도에는 선택적으로 적용할 수 있습니다. 이 공시는 자금 부정을 방지하기 위한 통제 활동과 점검 결과를 구체적으로 명시하도록 요구하고 있습니다. 또한, 자산 1천억원 미만의 상장회사와 대형 비상장회사 중 비금융회사는 2026 사업연도부터 시행될 예정입니다 (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점은 여러 가지가 있습니다. 첫째, IFRS17의 도입으로 인해 계약 초기 사업비 집행 부담이 감소하면서 사업비 출혈 경쟁이 심화될 가능성이 있다는 점이 지적되었습니다. 2023년 사업비 집행이 전년 대비 14.1% 증가했으며, 신계약비의 증가가 전체 사업비 증가를 견인하고 있어, 이로 인해 건전성이 약화되고 소비자 피해가 우려된다고 합니다 (출처: 241101[별첨] IFRS17 안착을 위한 보험건전성 감독 강화방안.txt).

둘째, 재무정보의 신뢰성 문제도 제기되었습니다. IFRS17 도입 이후 보험회사 가치 평가에 있어 계리가정과 보험계약마진(CSM)의 중요성이 증가했으나, 유의미한 정보 제공이 부족하다는 지적이 있었습니다. 특히, 외부 검증 제도가 형식적으로 운영되고 있어 그 효과가 떨어진다는 비판이 있었습니다 (출처: 241101[별첨] IFRS17 안착을 위한 보험건전성 감독 강화방안.txt).

셋째, 계리가정의 자의적 사용으로 인한 '고무줄 회계이익' 논란이 발생하고 있습니다. 보험부채 산출 시 손해율과 해지율을 낙관적으로 가정할 경우, 보험계약마진이 과대계상될 위험이 있으며, 이는 향후 건전성 저하로 이어질 수 있다는 우려가 있습니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

이러한 문제점들은 IFRS17의 안정적인 정착을 위해 해결해야 할 주요 과제로 지적되고 있습니다."
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""금리 하락기 IFRS17 안정화 및 리스크관리""였습니다. 이 간담회는 금융감독원이 주재하였으며, 주요 보험사 및 회계법인 경영진과 함께 IFRS17 시행 초기의 혼란과 금리 하락으로 인한 보험사 건전성에 대한 우려를 논의하는 자리였습니다. (출처: 241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.txt)"
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월의 +5.3조원 대비 증가폭이 확대된 수치입니다. (출처: 241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.txt)"
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준으로 외국인이 보유한 상장주식은 728.9조원, 상장채권은 268.9조원입니다. 따라서 총 보유액은 997.8조원입니다. (출처: 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).txt)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp",금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일에 개최한 회의는 중소기업중앙회 리더스룸(5층)에서 진행되었습니다. (출처: 241107 (별첨) 금융감독원장 모두발언.txt)
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"금융꿀팁 156번째는 퇴직연금 관련 내용이 포함되어 있지 않습니다. 제공된 자료들은 주로 금융감독원 검사 결과, 부적정 대출 관련 사항, 그리고 금융기관의 보고 및 공시 의무에 대한 내용으로 구성되어 있습니다. 퇴직연금에 대한 구체적인 정보는 포함되어 있지 않으므로, 해당 금융꿀팁의 내용을 확인하기 위해서는 다른 자료를 참고해야 할 것 같습니다. (출처: 240825 (보도참고) OO은행 부적정 대출 관련 설명.txt)"
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,"2024년 6월 말 기준 금융복합기업집단의 자본적정성 비율은 184.3%로, 전년말의 193.7%에 비해 9.4%p 하락하였습니다. 이 비율은 금융복합기업집단법상 규제비율인 100%를 상회하고 있습니다. (출처: 241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.txt)"
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp","카카오모빌리티는 증권선물위원회(증선위)에서 회계처리기준을 위반한 것으로 중징계를 받았습니다. 구체적으로, 카카오모빌리티는 재무제표의 영업수익과 영업비용을 과대계상한 것으로 판단되었으며, 이로 인해 총 41.4억원의 과징금이 부과되었습니다. 또한, 대표이사와 전 재무담당임원에게도 각각 3.4억원의 과징금이 부과되었고, 전 재무담당임원은 해임 권고 및 6개월의 직무정지 처분을 받았습니다. 이 사건은 플랫폼 비즈니스의 회계처리와 관련된 첫 주요 사례로, 향후 유사 사건의 기준이 될 수 있는 중요한 사안으로 다루어졌습니다 (출처: 241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.txt)."
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf","위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일 금요일 15:40부터 17:00까지 정부서울청사에서 진행되었습니다. (출처: 위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.txt)"
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,"보험부채 할인율은 보험계약의 장래 현금 유출입을 추정하고 이를 현재 시점으로 할인하여 시가평가하는 방식으로 계산됩니다. 이 할인율은 단일한 수치가 아닌 시점별 수익률 곡선으로 구성되며, 실무적으로는 국고채 수익률을 기반으로 한 무위험 금리 기간 구조에 유동성 프리미엄을 가산하여 산출됩니다.

구체적으로, 할인율의 기본 구조는 다음과 같습니다:
1. **무위험 금리 기간 구조**: 국고채 금리를 기초로 하여, 만기가 긴 보험부채의 특성에 맞추어 관찰금리(0년 ~ 20년)와 추정금리(20년 이후)로 나뉩니다. 관찰금리는 국고채 금리를 직접 사용하고, 추정금리는 장기선도금리와 모형을 이용하여 산출됩니다.
2. **유동성 프리미엄**: 무위험 금리에 추가되는 요소로, 총 위험 스프레드에서 계약과 관련이 없는 신용스프레드를 차감하여 계산됩니다.

이러한 방식으로 보험부채 할인율이 현실화되고 있으며, 감독당국은 매년 할인율 운영 자문위원회를 통해 차년도 할인율 적용 기준을 마련하고 있습니다 (출처: 241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.txt)."
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,개인채무자보호법은 2024년 10월 17일에 시행됩니다. 이 법은 개인채무자의 권익을 보호하고 금융채권의 관리를 원활하게 하기 위해 제정되었습니다 (출처: 241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언.txt).
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,"카드사 유료 부가상품 관련 원스톱 서비스는 카드 회원이 모바일 앱을 통해 자신이 가입한 유료 부가상품의 내역을 통합적으로 조회하고, 필요 없는 상품을 간편하게 해지할 수 있는 서비스입니다. 이 서비스는 모바일 금융 서비스 이용의 확산에 대응하여 소비자들이 더 쉽고 편리하게 유료 부가상품의 가입 여부와 수수료 내역을 확인할 수 있도록 마련되었습니다. 현재 일부 카드사의 모바일 앱에서는 이러한 통합 조회 및 간편 해지 서비스가 제공되지 않아 소비자들이 불편을 겪고 있었으나, 앞으로 모든 카드사의 모바일 앱에서 이 원스톱 서비스가 제공될 예정입니다 (출처: 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.txt)."
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,이번 옴부즈만은 제7기입니다. (출처: 241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.txt)
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,"보험사기로 인해 형사처벌을 받는 경우, 형량은 사건의 구체적인 상황에 따라 다르지만, 일반적으로 형사처벌을 받을 수 있는 범죄로는 보험사기와 관련된 다양한 범죄가 포함됩니다. 예를 들어, 보험사기 범죄에 연루된 경우, 피해자에게 허위 진료기록을 제출하거나 진단코드를 변경하는 등의 행위가 적발될 수 있으며, 이러한 행위는 형사처벌의 대상이 됩니다. 

형사처벌의 구체적인 형량은 법원에서 판단되며, 범죄의 중대성, 피해 규모, 가해자의 전과 여부 등에 따라 달라질 수 있습니다. 예를 들어, 보험사기와 관련된 범죄로 인해 수억 원의 보험금을 편취한 경우, 중형에 처해질 수 있습니다. 

또한, 보험사기와 관련된 범죄에 연루된 의료진이나 환자들도 형사처벌을 받을 수 있으며, 이들에 대한 처벌 사례가 다수 존재합니다 (출처: 241029 금융감독원 서울경찰청 공조 보험사기 적발.txt)."
