Unnamed: 0,question,answer,파일명,result,source
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다.,"241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다., 240717(보도자료) 내일(7.19일)부터 가상자산이용자보호법이 시행됩니다., 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다., 241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대, 240813 퇴직연금 사전지정운용제도 시행 1주년"
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,금감원 지자체 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었다.,"241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담, 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담, 240715 (모두발언) 신응석 서울남부지방검찰청 검사장 모두발언, 240715 (모두발언) 이복현 금융감독원장 모두발언, (모두발언)_여신거래 안심차단시스템 간담회_금융감독원장_FN(3)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,미국 연방공개시장위원회(FOMC)의 금리동결 결정에 따른 대응을 논의하기 위해 거시경제금융회의가 개최되었다.,"240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화, 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화, 240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저, 240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저, 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화"
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"25사업연도부터 상장회사와 대형 비상장회사는 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 내부회계관리제도 운영실태보고서에 기재해야 하며, 이는 24사업연도에는 선택 적용이 가능합니다.","241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동, 240905 대부업자의 부당 추심행위를 방지하고 대부이용자 권익을 제고하겠습니다., 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동, 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동, 241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과"
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,IFRS17 도입 관련 문제점으로는 계리가정의 편차로 인한 '고무줄 회계이익' 논란과 낙관적인 가정으로 인한 보험계약마진의 과대계상이 지적되었다.,"241106[별첨2] IFRS17 주요 계리가정 가이드라인, 241101[별첨] IFRS17 안착을 위한 보험건전성 감독 강화방안, 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정, 241101(보도자료) IFRS17 안착을 위해 보험건전성 감독을 강화합니다, 241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대"
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,11월 11일 여의도 오투타워에서 열린 간담회의 주제는 블록체인 기업을 대상으로 한 '찾아가는 금융규제 샌드박스'였습니다.,"241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회, 241105(보도자료) H지수 기초 ELS 대책 마련을 위한 공개세미나 개최, 240925(보도자료) 「신뢰회복」과 「혁신」을 위한 3차 「보험개혁회의」 개최, 240919[별첨] 금융위원회 부위원장 모두발언, 240807 김병환 금융위원장, 현장 밀착형 지원책 마련"
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,2024년 10월 중 전 금융권 가계대출은 +6.6조원 증가하였다.,"241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최, 241011 조간 (보도자료) 2024년 9월중 가계대출 동향(잠정), 240812 (보도자료) 2024년 7월중 가계대출 동향(잠정), 240911(보도자료) 2024년 8월중 가계대출 동향(잠정), 240911(보도자료) 2024년 8월중 가계대출 동향(잠정)"
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,2024년 10월 기준 외국인이 보유한 상장주식과 상장채권은 총 997.8조원이었습니다.,"240812 (보도자료) 석간_2024년 7월 외국인 증권투자 동향_, 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정), 240913 (보도자료) 석간_2024년 8월 외국인 증권투자 동향, 241011 석간 (보도자료) 2024년 9월 외국인 증권투자 동향, 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp",금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일 중소기업중앙회 리더스룸(5층)에서 간담회를 개최하였습니다.,"241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담, 241107 (별첨) 금융감독원장 모두발언, 241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시, (모두발언)_여신거래 안심차단시스템 간담회_금융감독원장_FN(3), 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담"
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,금융꿀팁 156번째는 퇴직연금 실물이전 신청 시 가입자가 유의해야 할 사항에 대해 안내하는 내용입니다.,"240813 퇴직연금 사전지정운용제도 시행 1주년, 240722 세금걱정 없다는 미등록PG 절세단말기... 알고 보니 탈세단말기, 241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내, 240812 (보도자료) 조간_은행 대출취급 적정성 관련 수시검사결과(잠정), 240830 (보도자료) 1500_수도방위사령부 장병들에 대한 금융교육을 적극 지원하겠습니다"
